epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.418,0.88035,11.2303,1.65922,0.62255,0.49088,0.57134,0.28448,0.85802,11.3793,1.67119,0.0668534,0.000166566,0.000166566
2,700.166,0.83989,8.96143,1.6092,0.66598,0.62008,0.67586,0.33272,0.83339,8.94949,1.60028,0.0336867,0.000333176,0.000333176
3,1029.83,0.80708,8.1868,1.57377,0.73312,0.66767,0.72989,0.39528,0.76346,8.02919,1.51708,0.000519774,0.00049956,0.00049956
4,1355.23,0.77299,7.43716,1.51918,0.6568,0.6718,0.69219,0.36467,0.7875,7.92359,1.52533,0.000499237,0.000499237,0.000499237
5,1681.2,0.74791,6.88443,1.49065,0.78387,0.71623,0.78746,0.43442,0.75665,6.88153,1.48095,0.000498644,0.000498644,0.000498644
6,2010.01,0.71926,6.50854,1.45484,0.79041,0.73192,0.80938,0.46186,0.70243,6.42716,1.43375,0.000497883,0.000497883,0.000497883
7,2337.99,0.70645,6.21461,1.44423,0.75936,0.7536,0.80431,0.45929,0.6971,6.52794,1.41969,0.000496953,0.000496953,0.000496953
8,2665.49,0.69878,6.01636,1.4256,0.77325,0.78045,0.82849,0.48394,0.67403,5.95261,1.39017,0.000495856,0.000495856,0.000495856
9,2992.65,0.6866,5.84302,1.40784,0.77106,0.76542,0.82852,0.48309,0.68164,6.21217,1.4053,0.000494592,0.000494592,0.000494592
10,3318.92,0.68172,5.68668,1.40133,0.82874,0.77863,0.8564,0.50315,0.68856,5.6613,1.40024,0.000493162,0.000493162,0.000493162
11,3646.9,0.67107,5.57558,1.395,0.83265,0.79425,0.86102,0.52135,0.64744,5.59571,1.36141,0.000491567,0.000491567,0.000491567
12,3977.06,0.66388,5.41474,1.39587,0.82616,0.77083,0.85368,0.51839,0.66283,5.69757,1.38937,0.000489808,0.000489808,0.000489808
13,4305.84,0.66168,5.34231,1.39165,0.83102,0.79032,0.86438,0.52464,0.64946,5.5411,1.37595,0.000487886,0.000487886,0.000487886
14,4631.35,0.64797,5.19972,1.36397,0.85353,0.81279,0.87592,0.53283,0.6439,5.33918,1.3694,0.000485804,0.000485804,0.000485804
15,4960.62,0.6471,5.12955,1.36874,0.83199,0.8163,0.87662,0.53087,0.65352,5.19481,1.38447,0.000483561,0.000483561,0.000483561
16,5289.02,0.64213,5.07649,1.3545,0.83967,0.81872,0.87833,0.53145,0.64473,5.04628,1.36011,0.00048116,0.00048116,0.00048116
17,5616.64,0.64216,4.99165,1.36592,0.86552,0.81965,0.88759,0.54287,0.64169,4.98989,1.36563,0.000478603,0.000478603,0.000478603
18,5942.77,0.63597,4.89077,1.35451,0.88189,0.83909,0.89959,0.55728,0.6354,4.92575,1.34939,0.00047589,0.00047589,0.00047589
19,6271.99,0.6304,4.77734,1.35119,0.8614,0.8326,0.89211,0.5553,0.63599,4.78462,1.3502,0.000473024,0.000473024,0.000473024
20,6597.74,0.63098,4.79454,1.34839,0.85628,0.83898,0.89973,0.56036,0.62442,4.80665,1.3401,0.000470007,0.000470007,0.000470007
21,6924.11,0.62254,4.71731,1.33566,0.85495,0.83066,0.88993,0.5562,0.61716,4.69724,1.33319,0.000466841,0.000466841,0.000466841
22,7247.7,0.61939,4.67943,1.3286,0.86896,0.84467,0.90677,0.57189,0.61127,4.59964,1.32173,0.000463528,0.000463528,0.000463528
23,7577.45,0.61925,4.65644,1.34367,0.88311,0.8582,0.91158,0.57851,0.60161,4.65615,1.32872,0.000460071,0.000460071,0.000460071
24,7903.43,0.6141,4.56364,1.32816,0.87791,0.8622,0.91364,0.58427,0.60289,4.44003,1.31858,0.000456471,0.000456471,0.000456471
25,8231.06,0.61058,4.52781,1.33535,0.86969,0.85326,0.91058,0.58666,0.60451,4.43066,1.31631,0.000452732,0.000452732,0.000452732
26,8559.46,0.61116,4.50971,1.32918,0.88416,0.86107,0.91594,0.58338,0.59848,4.39426,1.30942,0.000448855,0.000448855,0.000448855
